vendor_name,category,price,rating,city,experience_years,availability,contact,email
Grand Catering,catering,350000,4.8,Bangalore,15,yes,9876543215,grand@catering.com
Elite Caterers,catering,300000,4.7,Mumbai,12,yes,9876543211,elite@catering.com
Royal Decor,decoration,200000,4.5,Delhi,10,yes,9876501234,royal@decor.com
Elite Decor,decoration,250000,4.6,Hyderabad,9,yes,9876501235,elite@decor.com
City Hall,venue,500000,4.7,Chennai,20,yes,9123456781,cityhall@venue.com
Grand Palace,venue,800000,4.9,Jaipur,25,yes,9123456782,grandpalace@venue.com
DJ Beats,entertainment,100000,4.4,Goa,8,yes,9988776655,dj@events.com
Fun Events,entertainment,120000,4.5,Pune,7,yes,9988776656,fun@events.com
Stage Masters,stage,400000,4.8,Bangalore,15,yes,9876000011,stage@masters.com
Light Experts,lighting,150000,4.3,Mumbai,10,yes,9876000012,light@experts.com
Premium Sounds,entertainment,180000,4.7,Delhi,12,yes,9876000013,sound@premium.com
Flower World,decoration,140000,4.2,Hyderabad,8,yes,9876000014,flowers@world.com
Dream Venues,venue,900000,4.9,Goa,18,yes,9876000015,dream@venues.com
Food Fiesta,catering,250000,4.5,Chennai,11,yes,9876000016,food@fiesta.com
Party Lights,lighting,100000,4.1,Pune,7,yes,9876000017,lights@party.com
Wedding Beats,entertainment,220000,4.8,Jaipur,14,yes,9876000018,beats@wedding.com
Golden Caterers,catering,450000,4.9,Delhi,20,yes,9876000019,golden@catering.com
Creative Decor,decoration,180000,4.4,Kolkata,9,yes,9876000020,creative@decor.com
Luxury Lawns,venue,750000,4.8,Ahmedabad,17,yes,9876000021,luxury@lawns.com
Event Spark,stage,300000,4.5,Bangalore,10,yes,9876000022,event@spark.com
Star Catering,catering,280000,4.5,Mysore,10,yes,9876100001,star@catering.com
Ocean Decor,decoration,220000,4.6,Kochi,11,yes,9876100002,ocean@decor.com
Royal Arena,venue,950000,4.9,Goa,20,yes,9876100003,royal@arena.com
Music Mania,entertainment,180000,4.4,Vizag,8,yes,9876100004,music@mania.com
Elite Weddings,stage,450000,4.8,Jaipur,16,yes,9876100005,elite@weddings.com
South Spice Catering,catering,320000,4.7,Coimbatore,13,yes,9876100006,south@spice.com
Dream Lights,lighting,160000,4.3,Lucknow,9,yes,9876100007,dream@lights.com
Skyline Venue,venue,700000,4.6,Indore,15,yes,9876100008,skyline@venue.com
Event Pulse,stage,350000,4.5,Chandigarh,12,yes,9876100009,event@pulse.com
Classic Decor,decoration,190000,4.4,Surat,10,yes,9876100010,classic@decor.com
Melody Nights,entertainment,200000,4.7,Nagpur,11,yes,9876100011,melody@nights.com
Grand Feast,catering,500000,4.9,Bhopal,18,yes,9876100012,grand@feast.com
Silver Palace,venue,850000,4.8,Mysore,19,yes,9876100013,silver@palace.com
Festival Makers,stage,280000,4.3,Kochi,9,yes,9876100014,festival@makers.com
Spark Events,entertainment,140000,4.2,Vizag,7,yes,9876100015,spark@events.com
Urban Caterers,catering,270000,4.4,Chandigarh,10,yes,9876100016,urban@caterers.com
Moonlight Decor,decoration,210000,4.5,Indore,8,yes,9876100017,moonlight@decor.com
Galaxy Venues,venue,920000,4.9,Mumbai,21,yes,9876100018,galaxy@venues.com
Party Zone,entertainment,160000,4.3,Ahmedabad,9,yes,9876100019,party@zone.com
Prime Stages,stage,390000,4.6,Delhi,13,yes,9876100020,prime@stages.com
Radiant Lights,lighting,170000,4.4,Kolkata,11,yes,9876100021,radiant@lights.com
Taste Buds Catering,catering,310000,4.7,Goa,14,yes,9876100022,taste@buds.com
Heaven Decor,decoration,260000,4.8,Pune,12,yes,9876100023,heaven@decor.com
Blue Diamond Venue,venue,880000,4.8,Hyderabad,18,yes,9876100024,blue@diamond.com
Live Beats,entertainment,210000,4.7,Chennai,10,yes,9876100025,live@beats.com
Master Events,stage,420000,4.8,Jaipur,15,yes,9876100026,master@events.com
Glow Lighting,lighting,145000,4.2,Surat,7,yes,9876100027,glow@lighting.com
Royal Feast,catering,480000,4.9,Lucknow,19,yes,9876100028,royal@feast.com
Elegant Decor,decoration,230000,4.6,Bhopal,10,yes,9876100029,elegant@decor.com
Crown Venue,venue,970000,4.9,Delhi,22,yes,9876100030,crown@venue.com
Music Factory,entertainment,190000,4.5,Kochi,9,yes,9876100031,music@factory.com
Vision Stages,stage,360000,4.5,Nagpur,11,yes,9876100032,vision@stages.com
Bright Lights,lighting,155000,4.3,Coimbatore,8,yes,9876100033,bright@lights.com
Happy Catering,catering,290000,4.5,Ahmedabad,10,yes,9876100034,happy@catering.com
Dream Decorators,decoration,240000,4.7,Chandigarh,13,yes,9876100035,dream@decorators.com
Paradise Venue,venue,990000,4.9,Goa,24,yes,9876100036,paradise@venue.com
Sound Kings,entertainment,175000,4.4,Mysore,9,yes,9876100037,sound@kings.com
Dynamic Stage,stage,410000,4.7,Vizag,14,yes,9876100038,dynamic@stage.com
Laser Lights,lighting,165000,4.5,Hyderabad,10,yes,9876100039,laser@lights.com
Mega Caterers,catering,530000,5.0,Mumbai,22,yes,9876100040,mega@caterers.com
